City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
366,as saffaniyah,27.9708,48.73,34.77,27,3,5.37,SA,2024-08-08 18:46:32
367,malaya vishera,58.8454,32.2222,14.86,83,99,1.1,RU,2024-08-08 18:46:32
368,ski,59.7195,10.8358,13.51,88,100,3.55,NO,2024-08-08 18:46:32
369,klaksvik,62.2266,-6.589,10.51,93,100,4.92,FO,2024-08-08 18:46:33
370,mankono,8.0586,-6.1897,21.71,93,100,3.12,CI,2024-08-08 18:46:33
371,ebon,4.582,168.6964,28.55,73,18,3.6,MH,2024-08-08 18:46:33
372,datong,40.0936,113.2914,18.93,94,100,5.68,CN,2024-08-08 18:46:33
373,saint-paul,-21.0096,55.2707,21.06,84,37,0.5,RE,2024-08-08 18:46:34
374,madinat ash shamal,26.1293,51.2009,31.97,74,1,3.11,QA,2024-08-08 18:46:34
375,cestos city,5.46,-9.5828,24.04,80,100,4.16,LR,2024-08-08 18:46:34
376,immokalee,26.4187,-81.4173,29.97,94,0,2.57,US,2024-08-08 18:46:35
377,port isabel,26.0734,-97.2086,31.04,74,20,6.69,US,2024-08-08 18:42:59
378,tromso,69.6496,18.957,17.01,67,82,0.0,NO,2024-08-08 18:46:35
379,paita,-5.0892,-81.1144,17.68,83,3,6.71,PE,2024-08-08 18:46:36
380,zheleznogorsk-ilimskiy,56.5768,104.1217,19.19,69,22,2.24,RU,2024-08-08 18:46:36
381,sfizef,35.2346,-0.2444,23.72,72,100,1.64,DZ,2024-08-08 18:46:36
382,lodja,-3.4833,23.4333,20.66,79,89,0.69,CD,2024-08-08 18:46:37
383,altay,47.8667,88.1167,24.88,27,54,1.12,CN,2024-08-08 18:46:37
384,miri,4.4148,114.0089,29.08,74,20,2.57,MY,2024-08-08 18:46:38
385,santiago juxtlahuaca,17.3333,-98.0167,16.36,92,100,0.58,MX,2024-08-08 18:46:38
386,keren,15.7778,38.4581,21.0,85,86,0.64,ER,2024-08-08 18:46:38
387,belmonte,-15.8631,-38.8828,21.5,77,0,2.06,BR,2024-08-08 18:46:39
388,angra do heroismo,38.65,-27.2167,23.34,88,0,1.79,PT,2024-08-08 18:46:39
389,luderitz,-26.6481,15.1594,12.94,71,0,2.69,NA,2024-08-08 18:46:39
390,ancud,-41.8697,-73.8203,7.78,86,100,2.63,CL,2024-08-08 18:46:40
391,plettenberg bay,-34.0527,23.3716,16.6,53,62,7.12,ZA,2024-08-08 18:46:40
392,burang,30.25,81.1667,11.06,74,100,0.99,CN,2024-08-08 18:46:40
393,kokpekty,48.75,82.4,25.55,38,100,3.16,KZ,2024-08-08 18:46:40
394,ntoum,0.3833,9.7833,24.87,80,100,0.9,GA,2024-08-08 18:46:41
395,awjilah,29.1081,21.2869,28.04,43,0,3.18,LY,2024-08-08 18:46:41
396,saint-francois,46.4154,3.9054,14.25,95,0,1.03,FR,2024-08-08 18:46:41
397,pitimbu,-7.4706,-34.8086,23.33,80,2,4.74,BR,2024-08-08 18:46:41
398,hithadhoo,-0.6,73.0833,28.05,72,100,3.74,MV,2024-08-08 18:46:42
399,castelfranco di sotto,43.7015,10.7455,25.02,83,0,0.32,IT,2024-08-08 18:46:42
400,molchanovo,57.5817,83.7692,12.98,97,100,2.59,RU,2024-08-08 18:46:42
401,piti village,13.4626,144.6933,31.49,74,20,3.6,GU,2024-08-08 18:46:42
402,mogok,22.9167,96.5,19.09,90,88,1.83,MM,2024-08-08 18:46:43
403,fuente obejuna,38.2667,-5.4167,24.84,52,0,0.73,ES,2024-08-08 18:46:43
404,pontes e lacerda,-15.2261,-59.3353,19.24,73,100,2.16,BR,2024-08-08 18:46:43
405,taroa,8.7058,171.2275,28.44,73,8,4.62,MH,2024-08-08 18:46:43
406,margate,51.3813,1.3862,19.39,83,100,0.89,GB,2024-08-08 18:46:44
407,carutapera,-1.195,-46.02,26.07,80,11,3.93,BR,2024-08-08 18:46:44
408,nova sintra,14.8667,-24.7167,26.1,80,8,2.94,CV,2024-08-08 18:46:44
409,itupiranga,-5.1347,-49.3267,26.18,45,11,1.17,BR,2024-08-08 18:46:44
410,xiva,41.3783,60.3639,23.99,41,10,6.32,UZ,2024-08-08 18:46:45
411,napili-honokowai,20.9708,-156.6705,29.61,78,14,5.92,US,2024-08-08 18:46:45
412,codrington,-38.2667,141.9667,14.24,69,100,4.84,AU,2024-08-08 18:46:45
413,sur,22.5667,59.5289,27.15,75,90,4.48,OM,2024-08-08 18:46:46
414,sorong,-0.8833,131.25,28.57,73,93,5.47,ID,2024-08-08 18:46:46
415,chistopol',55.3631,50.6424,15.13,93,100,3.53,RU,2024-08-08 18:46:46
416,al khums,32.6486,14.2619,24.97,86,0,1.63,LY,2024-08-08 18:46:46
417,ulsteinvik,62.3432,5.8487,16.28,74,100,1.34,NO,2024-08-08 18:46:47
418,laojunmiao,39.8333,97.7333,16.6,49,86,9.77,CN,2024-08-08 18:46:47
419,thisted,56.9552,8.6949,16.22,92,100,7.64,DK,2024-08-08 18:46:47
420,nyurba,63.2842,118.3319,24.65,37,4,0.84,RU,2024-08-08 18:46:47
421,siruguppa,15.6333,76.9,24.82,82,67,4.23,IN,2024-08-08 18:46:48
422,sola,-13.8833,167.55,25.18,70,83,9.86,VU,2024-08-08 18:46:48
423,soderhamn,61.3037,17.0592,11.64,92,100,2.0,SE,2024-08-08 18:46:48
424,inhambane,-23.865,35.3833,19.37,92,1,4.01,MZ,2024-08-08 18:46:48
425,lincoln city,44.9582,-124.0179,19.27,91,54,5.36,US,2024-08-08 18:46:49
426,cabedelo,-6.9811,-34.8339,23.37,84,8,5.38,BR,2024-08-08 18:46:49
427,muynoq,43.7683,59.0214,26.56,51,0,4.62,UZ,2024-08-08 18:46:49
428,enewetak,11.3474,162.3373,29.14,73,31,6.47,MH,2024-08-08 18:46:49
429,nemuro,43.3236,145.575,20.0,93,94,4.23,JP,2024-08-08 18:46:49
430,chulakkurgan,43.765,69.1814,32.52,18,35,3.02,KZ,2024-08-08 18:46:50
431,al jaradiyah,16.5795,42.9124,29.72,72,30,0.45,SA,2024-08-08 18:46:50
432,sihanoukville,10.6093,103.5296,28.97,89,40,1.03,KH,2024-08-08 18:46:50
433,baharly,38.4362,57.4316,30.53,48,84,1.44,TM,2024-08-08 18:46:51
434,kununurra,-15.7667,128.7333,28.99,20,14,7.2,AU,2024-08-08 18:46:51
435,san andres,12.5847,-81.7006,28.01,89,20,2.06,CO,2024-08-08 18:46:51
436,yaren,-0.5472,166.916,28.3,69,100,2.93,NR,2024-08-08 18:46:51
437,piacabucu,-10.4056,-36.4344,23.57,76,100,2.58,BR,2024-08-08 18:46:52
438,dukhan,25.4297,50.7858,31.08,65,28,1.52,QA,2024-08-08 18:46:52
439,remire-montjoly,4.9167,-52.2667,26.02,94,20,1.03,GF,2024-08-08 18:46:52
